     1 0 1
 0.966 0.259 1
 0.866 0.5 1
 0.707 0.707 1
   0.5 0.866 1
 0.259 0.966 1
7.55e-08 1 1
-0.259 0.966 1
  -0.5 0.866 1
-0.707 0.707 1
-0.866 0.5 1
-0.966 0.259 1
    -1 3.89e-07 1
-0.966 -0.259 1
-0.866 -0.5 1
-0.707 -0.707 1
  -0.5 -0.866 1
-0.259 -0.966 1
-4.65e-07 -1 1
 0.259 -0.966 1
   0.5 -0.866 1
 0.707 -0.707 1
 0.866 -0.5 1
 0.966 -0.259 1
     1 -7.79e-07 1
#

 0.966 0 0.966
 0.933 0.25 0.966
 0.837 0.483 0.966
 0.683 0.683 0.966
 0.483 0.837 0.966
  0.25 0.933 0.966
7.29e-08 0.966 0.966
 -0.25 0.933 0.966
-0.483 0.837 0.966
-0.683 0.683 0.966
-0.837 0.483 0.966
-0.933 0.25 0.966
-0.966 3.76e-07 0.966
-0.933 -0.25 0.966
-0.837 -0.483 0.966
-0.683 -0.683 0.966
-0.483 -0.837 0.966
 -0.25 -0.933 0.966
-4.49e-07 -0.966 0.966
  0.25 -0.933 0.966
 0.483 -0.837 0.966
 0.683 -0.683 0.966
 0.837 -0.483 0.966
 0.933 -0.25 0.966
 0.966 -7.52e-07 0.966
#

 0.866 0 0.866
 0.837 0.224 0.866
  0.75 0.433 0.866
 0.612 0.612 0.866
 0.433 0.75 0.866
 0.224 0.837 0.866
6.54e-08 0.866 0.866
-0.224 0.837 0.866
-0.433 0.75 0.866
-0.612 0.612 0.866
 -0.75 0.433 0.866
-0.837 0.224 0.866
-0.866 3.37e-07 0.866
-0.837 -0.224 0.866
 -0.75 -0.433 0.866
-0.612 -0.612 0.866
-0.433 -0.75 0.866
-0.224 -0.837 0.866
-4.03e-07 -0.866 0.866
 0.224 -0.837 0.866
 0.433 -0.75 0.866
 0.612 -0.612 0.866
  0.75 -0.433 0.866
 0.837 -0.224 0.866
 0.866 -6.74e-07 0.866
#

 0.707 0 0.707
 0.683 0.183 0.707
 0.612 0.354 0.707
   0.5 0.5 0.707
 0.354 0.612 0.707
 0.183 0.683 0.707
5.34e-08 0.707 0.707
-0.183 0.683 0.707
-0.354 0.612 0.707
  -0.5 0.5 0.707
-0.612 0.354 0.707
-0.683 0.183 0.707
-0.707 2.75e-07 0.707
-0.683 -0.183 0.707
-0.612 -0.354 0.707
  -0.5 -0.5 0.707
-0.354 -0.612 0.707
-0.183 -0.683 0.707
-3.29e-07 -0.707 0.707
 0.183 -0.683 0.707
 0.354 -0.612 0.707
   0.5 -0.5 0.707
 0.612 -0.354 0.707
 0.683 -0.183 0.707
 0.707 -5.51e-07 0.707
#

   0.5 0 0.5
 0.483 0.129 0.5
 0.433 0.25 0.5
 0.354 0.354 0.5
  0.25 0.433 0.5
 0.129 0.483 0.5
3.77e-08 0.5 0.5
-0.129 0.483 0.5
 -0.25 0.433 0.5
-0.354 0.354 0.5
-0.433 0.25 0.5
-0.483 0.129 0.5
  -0.5 1.95e-07 0.5
-0.483 -0.129 0.5
-0.433 -0.25 0.5
-0.354 -0.354 0.5
 -0.25 -0.433 0.5
-0.129 -0.483 0.5
-2.32e-07 -0.5 0.5
 0.129 -0.483 0.5
  0.25 -0.433 0.5
 0.354 -0.354 0.5
 0.433 -0.25 0.5
 0.483 -0.129 0.5
   0.5 -3.89e-07 0.5
#

 0.259 0 0.259
  0.25 0.067 0.259
 0.224 0.129 0.259
 0.183 0.183 0.259
 0.129 0.224 0.259
 0.067 0.25 0.259
1.95e-08 0.259 0.259
-0.067 0.25 0.259
-0.129 0.224 0.259
-0.183 0.183 0.259
-0.224 0.129 0.259
 -0.25 0.067 0.259
-0.259 1.01e-07 0.259
 -0.25 -0.067 0.259
-0.224 -0.129 0.259
-0.183 -0.183 0.259
-0.129 -0.224 0.259
-0.067 -0.25 0.259
-1.2e-07 -0.259 0.259
 0.067 -0.25 0.259
 0.129 -0.224 0.259
 0.183 -0.183 0.259
 0.224 -0.129 0.259
  0.25 -0.067 0.259
 0.259 -2.02e-07 0.259
#

7.55e-08 0 7.55e-08
7.29e-08 1.95e-08 7.55e-08
6.54e-08 3.77e-08 7.55e-08
5.34e-08 5.34e-08 7.55e-08
3.77e-08 6.54e-08 7.55e-08
1.95e-08 7.29e-08 7.55e-08
5.7e-15 7.55e-08 7.55e-08
-1.95e-08 7.29e-08 7.55e-08
-3.77e-08 6.54e-08 7.55e-08
-5.34e-08 5.34e-08 7.55e-08
-6.54e-08 3.77e-08 7.55e-08
-7.29e-08 1.95e-08 7.55e-08
-7.55e-08 2.94e-14 7.55e-08
-7.29e-08 -1.95e-08 7.55e-08
-6.54e-08 -3.77e-08 7.55e-08
-5.34e-08 -5.34e-08 7.55e-08
-3.77e-08 -6.54e-08 7.55e-08
-1.95e-08 -7.29e-08 7.55e-08
-3.51e-14 -7.55e-08 7.55e-08
1.95e-08 -7.29e-08 7.55e-08
3.77e-08 -6.54e-08 7.55e-08
5.34e-08 -5.34e-08 7.55e-08
6.54e-08 -3.77e-08 7.55e-08
7.29e-08 -1.95e-08 7.55e-08
7.55e-08 -5.88e-14 7.55e-08
#

 0.259 0 -0.259
  0.25 0.067 -0.259
 0.224 0.129 -0.259
 0.183 0.183 -0.259
 0.129 0.224 -0.259
 0.067 0.25 -0.259
1.95e-08 0.259 -0.259
-0.067 0.25 -0.259
-0.129 0.224 -0.259
-0.183 0.183 -0.259
-0.224 0.129 -0.259
 -0.25 0.067 -0.259
-0.259 1.01e-07 -0.259
 -0.25 -0.067 -0.259
-0.224 -0.129 -0.259
-0.183 -0.183 -0.259
-0.129 -0.224 -0.259
-0.067 -0.25 -0.259
-1.2e-07 -0.259 -0.259
 0.067 -0.25 -0.259
 0.129 -0.224 -0.259
 0.183 -0.183 -0.259
 0.224 -0.129 -0.259
  0.25 -0.067 -0.259
 0.259 -2.02e-07 -0.259
#

   0.5 0 -0.5
 0.483 0.129 -0.5
 0.433 0.25 -0.5
 0.354 0.354 -0.5
  0.25 0.433 -0.5
 0.129 0.483 -0.5
3.77e-08 0.5 -0.5
-0.129 0.483 -0.5
 -0.25 0.433 -0.5
-0.354 0.354 -0.5
-0.433 0.25 -0.5
-0.483 0.129 -0.5
  -0.5 1.95e-07 -0.5
-0.483 -0.129 -0.5
-0.433 -0.25 -0.5
-0.354 -0.354 -0.5
 -0.25 -0.433 -0.5
-0.129 -0.483 -0.5
-2.32e-07 -0.5 -0.5
 0.129 -0.483 -0.5
  0.25 -0.433 -0.5
 0.354 -0.354 -0.5
 0.433 -0.25 -0.5
 0.483 -0.129 -0.5
   0.5 -3.89e-07 -0.5
#

 0.707 0 -0.707
 0.683 0.183 -0.707
 0.612 0.354 -0.707
   0.5 0.5 -0.707
 0.354 0.612 -0.707
 0.183 0.683 -0.707
5.34e-08 0.707 -0.707
-0.183 0.683 -0.707
-0.354 0.612 -0.707
  -0.5 0.5 -0.707
-0.612 0.354 -0.707
-0.683 0.183 -0.707
-0.707 2.75e-07 -0.707
-0.683 -0.183 -0.707
-0.612 -0.354 -0.707
  -0.5 -0.5 -0.707
-0.354 -0.612 -0.707
-0.183 -0.683 -0.707
-3.29e-07 -0.707 -0.707
 0.183 -0.683 -0.707
 0.354 -0.612 -0.707
   0.5 -0.5 -0.707
 0.612 -0.354 -0.707
 0.683 -0.183 -0.707
 0.707 -5.51e-07 -0.707
#

 0.866 0 -0.866
 0.837 0.224 -0.866
  0.75 0.433 -0.866
 0.612 0.612 -0.866
